seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,64,32,3,0.02092738960714478,15,4
2,384,64,3,0.004798032073901399,2,2
3,384,24,2,0.029082975915641147,2,5
4,192,56,2,0.0035413080899499034,6,5
5,448,40,3,0.01589399503181247,2,2
