seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8809874110563765,auc_at_N,83.0,37.0,0.8059815950920245,0.9300699300699301,0.6190476190476191,0.8819776714513556,0.7555555555555555,0.88,0.8163265306122449,,0.792332268370607
2,0.8785336886630205,auc_at_N,83.0,37.0,0.7727963525835866,0.8783333333333333,0.6046511627906976,0.8330308529945554,0.6976744186046512,0.8535469107551488,0.7272727272727273,0.5588235294117647,0.7859608745684695
3,0.8845827864945512,auc_at_N,83.0,37.0,0.7804878048780488,0.9570247933884297,0.5,0.8483483483483483,0.6956521739130435,0.7767857142857143,0.72,,0.7590252707581228
4,0.8664393197674931,auc_at_N,83.0,37.0,0.8270958083832335,0.9492063492063493,0.6363636363636364,0.9618055555555556,0.7619047619047619,0.9073426573426574,0.782608695652174,0.8,0.826226012793177
5,0.8838853973142712,auc_at_N,83.0,37.0,0.7968397291196389,0.8977272727272727,0.4878048780487805,0.8464052287581699,0.6363636363636364,0.8626086956521739,0.7346938775510204,0.8717948717948718,0.7700892857142857
