seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,aft_loss_distribution,aft_loss_distribution_scale
1,200,4,0.022734492469000847,0.8442197358440752,0.7565312686842822,normal,0.7042447163723922
2,225,3,0.004789367530389621,0.5977646747819562,0.6604263691602335,logistic,0.8863269523550218
3,200,3,0.02200902472936034,0.5907696440136774,0.6373660034016357,logistic,1.2973677618699466
4,350,7,0.009875359101200281,0.8249025545096711,0.6984500014508663,logistic,1.0633636528813135
5,325,4,0.027387070650623607,0.6563440793973518,0.6567118403406661,normal,1.1794739819782911
