seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.852888760185113,auc_at_N,83.0,37.0,0.7776073619631901,0.9020979020979022,0.6190476190476191,0.8644338118022328,0.7111111111111111,0.8452173913043477,0.7755102040816326,,0.7635782747603834
2,0.8515413393758393,auc_at_N,83.0,37.0,0.7933130699088146,0.9033333333333333,0.6046511627906976,0.8566243194192378,0.6976744186046512,0.8741418764302059,0.7727272727272727,0.47058823529411764,0.8193325661680092
3,0.8846959523261241,auc_at_N,83.0,37.0,0.7642276422764228,0.9735537190082644,0.5,0.8273273273273274,0.6521739130434783,0.7157738095238096,0.64,,0.7436823104693141
4,0.8482803084428472,auc_at_N,83.0,37.0,0.8038922155688623,0.9380952380952381,0.5909090909090909,0.9097222222222222,0.6666666666666666,0.8758741258741259,0.6956521739130435,0.9714285714285714,0.7814498933901919
5,0.8548534643742555,auc_at_N,83.0,37.0,0.781038374717833,0.8901515151515151,0.4878048780487805,0.7957516339869282,0.6363636363636364,0.8504347826086956,0.7755102040816326,0.9743589743589743,0.7421875
