seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9355421390150536,roc_auc,0.9230769230769231,0.8813559322033898,0.9130434782608695,0.9333333333333333,59.0,0.8682539682539683,0.9600000000000001,0.8412698412698413
2,0.9210341198626343,roc_auc,0.946236559139785,0.9152542372881356,0.9166666666666666,0.9777777777777777,59.0,0.9682539682539683,1.0,0.9684418145956608
3,0.9188994744162574,roc_auc,0.8865979381443299,0.8135593220338984,0.8269230769230769,0.9555555555555556,59.0,0.8555555555555555,0.8333333333333334,0.8857808857808858
4,0.9596205211525914,roc_auc,0.8764044943820225,0.8135593220338984,0.8863636363636364,0.8666666666666667,59.0,0.8095238095238095,0.7857142857142857,0.8179824561403508
5,0.9010465517029159,roc_auc,0.945054945054945,0.9152542372881356,0.9347826086956522,0.9555555555555556,59.0,0.9714285714285714,0.8,0.98125
