seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,325,4,0.0016001132169393387,0.8883472150073222,0.6255859851999693,1,0.0002452429279864771,0.008761301411628484
2,350,10,0.0018000012906022767,0.5008437505413674,0.8795006725183326,5,0.0029443209516345076,2.894046279026012
3,575,8,0.002971042340725539,0.7734838032945093,0.8733524834373991,5,0.0036097763127952076,9.450793348843144
4,75,4,0.045421708439154135,0.9728328394578636,0.9012865717767194,4,0.0005935914685717326,8.370557838191527
5,300,5,0.002574337020034712,0.8441042642046364,0.5759040828243722,6,0.0006224675087129241,0.5445665826520878
