seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,75,9,0.0014433605501480813,0.7128474727089521,0.9313780368901616,1,0.08165905811416782,0.10799653622997414
2,450,3,0.0010148009492063717,0.8337110776923095,0.5166692036843823,3,0.00010784522836544619,9.507232783855061
3,50,7,0.0020034815619203094,0.8243258250115436,0.6350867421158376,7,0.05323612358075388,0.07399710613709196
4,50,5,0.001286440837502284,0.978326483857118,0.7180733234398988,10,0.13970885834033986,2.9184831775054216
5,225,3,0.0025718352144666573,0.9819652645339709,0.9801133576428469,2,0.0001250910524668345,0.006579943818868581
