seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,275,8,0.0010006525819177023,0.6511662863159199,0.5733779454085566,1,0.0005559565426712572,0.024112537061475744
2,400,6,0.01784566013895507,0.6934463255592797,0.8968187272207886,6,0.0004458557726839098,0.6353446634397301
3,200,6,0.0032272033416163256,0.6006893555215366,0.757017529908721,1,0.008596905035784811,0.028099904864390297
4,275,4,0.020832947197471197,0.7295741904885041,0.7086914640702519,2,0.00024949237094371094,0.36930248610167876
5,475,8,0.0032603412249380824,0.90443462600676,0.7522559563532447,7,0.014327160753099111,0.07097510407895062
