seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,125,9,0.009662594301254561,0.5826770985584664,0.963754290198017,4,0.10075077894785217,0.8016631879017478
2,550,7,0.001359294462238156,0.8897860884728112,0.750524050934286,4,0.00010423341669184806,0.4411406229966543
3,200,6,0.0032272033416163256,0.6006893555215366,0.757017529908721,1,0.008596905035784811,0.028099904864390297
4,425,8,0.2807977913200958,0.8565745326392797,0.8440771232013243,1,0.7965718343374985,0.0010309579426137333
5,50,6,0.026926598888199687,0.6543397484547829,0.6252929579858556,1,0.002123989899897742,0.44971929066844807
