seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8517325994725375,f1,0.8378378378378378,0.76,0.7380952380952381,0.96875,50.0,0.829861111111111,0.8,0.8240740740740741
2,0.8542293132896199,f1,0.8611111111111112,0.8,0.775,0.96875,50.0,0.875,1.0,0.8864097363083164
3,0.8489092899437727,f1,0.8533333333333334,0.78,0.7441860465116279,1.0,50.0,0.8949652777777777,0.9333333333333333,0.8876543209876543
4,0.8559925237410024,f1,0.8235294117647058,0.76,0.7777777777777778,0.875,50.0,0.8142361111111112,0.6666666666666667,0.8333333333333333
5,0.8535044151100081,f1,0.8421052631578947,0.76,0.7272727272727273,1.0,50.0,0.8489583333333334,1.0,0.8634259259259259
