seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,150,4,0.005197658087031485,0.7019074732696432,0.7230005900584833,8,0.028448946375736462,0.16803569530404364
2,150,5,0.004634656386339557,0.6617487118341799,0.9221355351006352,5,0.018266097405479513,0.5475528002625302
3,375,3,0.003190695641018253,0.7768581823264848,0.9442424257527624,10,0.0009461443646248178,0.00591965311561662
4,450,2,0.004934009835753847,0.8635193692811741,0.6208113822610593,8,0.0001309361594197746,0.02139986158570808
5,125,8,0.006027867340661228,0.8305933331635652,0.7290490035994244,10,0.1915004711044969,0.0036098623585560383
