seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9541847041847042,roc_auc,0.9,0.8305084745762712,0.8181818181818182,1.0,59.0,0.8920634920634921,1.0,0.873015873015873
2,0.9234126984126985,roc_auc,0.8653846153846154,0.7627118644067796,0.7627118644067796,1.0,59.0,0.9412698412698413,1.0,0.9487179487179488
3,0.9388455988455988,roc_auc,0.8958333333333334,0.8305084745762712,0.8431372549019608,0.9555555555555556,59.0,0.8587301587301586,0.888888888888889,0.8694638694638694
4,0.9612950937950938,roc_auc,0.8695652173913043,0.7966101694915254,0.851063829787234,0.8888888888888888,59.0,0.7944444444444445,0.6428571428571428,0.8026315789473685
5,0.923073593073593,roc_auc,0.9090909090909091,0.847457627118644,0.8333333333333334,1.0,59.0,0.965079365079365,0.8,0.9729166666666667
