cell_name,cohort,has_c1_chg,has_c5_chg,has_c1_dis,has_c5_dis,dop_ok_c1_chg,dop_ok_c5_chg,dop_ok_c1_dis,dop_ok_c5_dis,fit_time_s_total,n_features_success,error_msg
0MC6-260121-R001,0MC,true,true,true,true,true,true,true,true,5.570493403822184,6,""
0MC6-260121-R002,0MC,true,true,true,true,true,true,true,true,6.644206274300814,6,""
0MC6-260121-R003,0MC,true,true,true,true,true,true,true,true,5.578482456505299,6,""
0MC6-260121-R004,0MC,true,true,true,true,true,true,true,true,21.65262585133314,6,""
0MC6-260122-R004,0MC,true,true,true,true,true,true,true,true,20.241388466209173,6,""
0MC6-260122-R005,0MC,true,true,true,true,true,true,true,true,10.551254253834486,6,""
0MC6-260122-R006,0MC,true,true,true,true,true,true,true,true,10.810034018009901,6,""
0MC6-260123-R003,0MC,true,true,true,true,true,true,true,true,8.461357977241278,6,""
0MC6-260123-R004,0MC,true,true,true,true,true,true,true,true,7.136682443320751,6,""
0MC6-260123-R006,0MC,true,true,true,true,true,true,true,true,12.021954711526632,6,""
0MC6-260123-R007,0MC,true,true,true,true,true,true,true,true,14.7074058316648,6,""
0MC6-260127-R002,0MC,true,true,true,true,true,true,true,true,5.0246687941253185,6,""
0MC6-260127-R003,0MC,true,true,true,true,true,true,true,true,5.1972727589309216,6,""
0MC6-260127-R005,0MC,true,true,true,true,true,true,true,true,16.04837805777788,6,""
0MC6-260209-R001,0MC,true,true,true,true,true,true,true,true,13.050935082137585,6,""
0MC6-260211-R002,0MC,true,true,true,true,true,true,true,true,7.392005655914545,6,""
0MC6-260211-R003,0MC,true,true,true,true,true,true,true,true,21.86857433617115,6,""
0MC6-260211-R005,0MC,true,true,true,true,true,true,true,true,8.504652805626392,6,""
0MC6-260212-R004,0MC,true,true,true,true,true,true,true,true,26.008801218122244,6,""
0MC6-260212-R007,0MC,true,true,true,true,true,true,true,true,15.357074707746506,6,""
0MC6-260212-R009,0MC,true,true,true,true,true,true,true,true,4.203839674592018,6,""
0MC6-260213-R001,0MC,true,true,true,true,true,true,true,true,5.130712501704693,6,""
0MC6-260213-R006,0MC,true,true,true,true,true,true,true,true,11.501804236322641,6,""
0MC6-260218-R002,0MC,true,true,true,true,true,true,true,true,4.696600832045078,6,""
0MC6-260218-R003,0MC,true,true,true,true,true,true,true,true,6.939587347209454,6,""
0MC6-260218-R004,0MC,true,true,true,true,true,true,true,true,7.978701617568731,6,""
0MC6-260218-R005,0MC,true,true,true,true,true,true,true,true,5.152986891567707,6,""
0MC6-260218-R006,0MC,true,true,true,true,true,true,true,true,5.427203379571438,6,""
0MC6-260303-R001,0MC,true,true,true,true,true,true,true,true,5.729799311608076,6,""
0MC6-260303-R001_from_db,0MC,true,true,true,true,true,true,true,true,6.09486123919487,6,""
0MC6-260303-R002,0MC,true,true,true,true,true,true,true,true,12.975429356098175,6,""
0MC6-260303-R003,0MC,true,true,true,true,true,true,true,true,11.290746811777353,6,""
0MC6-260303-R004,0MC,true,true,true,true,true,true,true,true,9.104951333254576,6,""
0MC6-260303-R005,0MC,true,true,true,true,true,true,true,true,6.3855087868869305,6,""
0MC6-260303-R006,0MC,true,true,true,true,true,true,true,true,8.619310162961483,6,""
0MC6-260305-R001,0MC,true,true,true,true,true,true,true,true,114.97512214258313,6,""
0MC6-260316-R002,0MC,true,true,true,true,true,true,true,true,9.891697339713573,6,""
0MC6-260317-R001,0MC,true,true,true,true,false,false,true,true,88.42862403765321,3,c1_chg:no_dop_peaks
0MC6-260317-R005,0MC,true,true,true,true,true,true,true,true,158.77315226569772,6,""
0MC6-260317-R007,0MC,true,true,true,true,true,true,true,true,5.2806174755096436,6,""
0MC6-260317-R008,0MC,true,true,true,true,true,true,true,true,7.794930562376976,6,""
0MC6-260319-R001,0MC,true,true,true,true,true,true,true,true,9.118201836943626,6,""
0MC6-260319-R002,0MC,true,true,true,true,true,true,true,true,8.058566208928823,6,""
0MC6-260323-R006,0MC,true,true,true,true,true,true,true,true,100.52109291404486,6,""
0MC6-260323-R007,0MC,true,true,true,true,true,true,true,true,102.70561227202415,6,""
0MC6-260323-R008,0MC,true,true,true,true,true,true,true,true,167.943415556103,6,""
0MC6-260325-R003,0MC,true,true,true,true,true,true,true,true,59.183619901537895,6,""
0MC6-260402-R001,0MC,true,true,true,true,false,true,true,true,276.83108638972044,4,c1_chg:no_dop_peaks
0MC6-260402-R002,0MC,true,true,true,true,false,true,true,true,342.4895178861916,4,c1_chg:no_dop_peaks
0MC6-260402-R003,0MC,true,true,true,true,false,true,true,true,314.7212443910539,4,c1_chg:no_dop_peaks
0MC6-260402-R004,0MC,true,true,true,true,false,true,true,true,258.37522508203983,4,c1_chg:no_dop_peaks
0MC6-260402-R005,0MC,true,true,true,true,true,true,true,true,167.68571845814586,6,""
0MC6-260402-R006,0MC,true,true,true,true,true,false,true,true,333.4798351228237,4,c5_chg:no_dop_peaks
0MC6-260402-R007,0MC,true,true,true,true,false,true,true,true,280.20473524183035,4,c1_chg:no_dop_peaks
0MC6-260402-R008,0MC,true,true,true,true,true,true,true,true,355.8940512947738,6,""
0MC6-260402-R009,0MC,true,true,true,true,true,true,true,true,327.431103348732,6,""
0MC6-260402-R010,0MC,true,true,true,true,true,false,true,true,226.13726243004203,4,c5_chg:no_dop_peaks
0MC6-260402-R011,0MC,true,true,true,true,true,false,true,true,208.46493999287486,4,c5_chg:no_dop_peaks
0MC6-260402-R012,0MC,true,true,true,true,false,true,true,true,319.1103445775807,4,c1_chg:no_dop_peaks
0MC6-260402-R013,0MC,true,true,true,true,true,true,true,true,161.43714001774788,6,""
0MC6-260402-R014,0MC,true,true,true,true,false,true,true,true,483.7058208845556,4,c1_chg:no_dop_peaks
0MC6-260402-R015,0MC,true,true,true,true,false,true,true,true,404.5252795815468,4,c1_chg:no_dop_peaks
0MC6-260403-R001,0MC,true,true,true,true,false,true,true,true,275.6868988201022,4,c1_chg:no_dop_peaks
0MC6-260403-R002,0MC,true,true,true,true,false,true,true,true,249.653838314116,4,c1_chg:no_dop_peaks
0MC6-260403-R003,0MC,true,true,true,true,false,true,true,true,235.19515447691083,4,c1_chg:no_dop_peaks
0MC6-260430-R001,0MC,true,true,true,true,false,true,true,true,98.41992980614305,4,c1_chg:no_dop_peaks
0MC6-260430-R002,0MC,true,true,true,true,true,true,true,true,85.58444951847196,6,""
0MC6-260430-R003,0MC,true,true,true,true,true,false,true,true,149.91848217323422,4,c5_chg:no_dop_peaks
0MC6-260430-R004,0MC,true,true,true,true,false,false,true,true,151.37741542980075,3,c1_chg:no_dop_peaks
0MC6-260430-R005,0MC,true,true,true,true,false,true,true,true,146.09718887880445,4,c1_chg:no_dop_peaks
0MC6-260430-R006,0MC,true,true,true,true,false,true,true,true,205.36430322006345,4,c1_chg:no_dop_peaks
0MC6-260513-R001,0MC,true,true,true,true,true,true,true,true,47.39570825919509,6,""
0MC6-260513-R002,0MC,true,true,true,true,true,true,true,true,35.21206567063928,6,""
0MC6-260513-R003,0MC,true,true,true,true,true,true,true,true,47.09634404629469,6,""
0MC6-260513-R004,0MC,true,true,true,true,true,true,true,true,138.8282324448228,6,""
0MC6-260513-R005,0MC,true,true,true,true,true,true,true,true,45.95299119502306,6,""
0MC6-260513-R006,0MC,true,true,true,true,true,true,true,true,26.41075498983264,6,""
0MC6-260513-R007,0MC,true,true,true,true,true,true,true,true,48.590009305626154,6,""
0MC6-260513-R008,0MC,true,true,true,true,true,true,true,true,36.810831766575575,6,""
0MC6-260513-R009,0MC,true,true,true,true,true,true,true,true,85.19287304207683,6,""
0MC8-251113-R001,0MC,true,true,true,true,true,true,true,true,7.04204860329628,6,""
0MC8-251113-R002,0MC,true,true,true,true,true,true,true,true,6.374836876988411,6,""
0MC8-251209-R002,0MC,true,true,true,true,true,true,true,true,4.978877674788237,6,""
0MC8-251216-R001,0MC,true,true,true,true,true,true,true,true,7.253192380070686,6,""
AR-2736,AR,true,true,true,true,true,true,true,true,9.992625977844,6,""
AR-3420,AR,true,true,true,true,true,true,true,true,5.057293590158224,6,""
AR-3421,AR,true,true,true,true,true,true,true,true,5.893493350595236,6,""
AR-3422,AR,true,true,true,true,true,true,true,true,6.674156531691551,6,""
AR-3423,AR,true,true,true,true,true,true,true,true,6.438664644956589,6,""
AR3684,AR,true,true,true,true,true,true,true,true,4.658857721835375,6,""
AR3685,AR,true,true,true,true,true,true,true,true,7.817417178303003,6,""
AR3771,AR,true,true,true,true,true,true,true,true,5.051967669278383,6,""
AR3772,AR,true,true,true,true,true,true,true,true,9.877945512533188,6,""
AR3773,AR,true,true,true,true,true,true,true,true,14.681156821548939,6,""
AR3774,AR,true,true,true,true,true,true,true,true,10.07483208924532,6,""
AR3775,AR,true,true,true,true,true,true,true,true,5.412007089704275,6,""
AR3776,AR,true,true,true,true,true,true,true,true,11.058712638914585,6,""
AR3843,AR,false,false,false,false,false,false,false,false,0.0,0,missing regular cycle: cd1=None cd5=None
AR3854,AR,true,true,true,true,true,true,true,true,6.362504065036774,6,""
AR3858,AR,true,true,true,true,true,true,true,true,5.592408731579781,6,""
AR3864,AR,true,true,true,true,true,true,true,true,6.2928781397640705,6,""
AR3865,AR,true,true,true,true,true,true,true,true,5.8217860870063305,6,""
AR3867,AR,true,true,true,true,true,true,true,true,5.769194018095732,6,""
AR3870,AR,true,true,true,true,true,true,true,true,7.006307668983936,6,""
AR3871,AR,true,true,true,true,true,true,true,true,6.003266155719757,6,""
AR3872,AR,true,true,true,true,true,true,true,true,5.637445047497749,6,""
AR3873,AR,true,true,true,true,true,true,true,true,4.365766659379005,6,""
AR3875,AR,true,true,true,true,true,true,true,true,5.795062705874443,6,""
AR3876,AR,true,true,true,true,true,true,true,true,7.348238050937653,6,""
AR3877,AR,true,true,true,true,true,true,true,true,7.226925026625395,6,""
AR3879,AR,true,true,true,true,true,true,true,true,5.691519156098366,6,""
AR3883,AR,true,true,true,true,true,true,true,true,7.46989032626152,6,""
AR3884,AR,true,true,true,true,true,true,true,true,7.651777479797602,6,""
AR3885,AR,true,true,true,true,true,true,true,true,11.53105479106307,6,""
AR3886,AR,true,true,true,true,true,true,true,true,6.173865724354982,6,""
AR3887,AR,true,true,true,true,true,true,true,true,8.295695792883635,6,""
AR3891,AR,true,true,true,true,true,true,true,true,9.206453498452902,6,""
AR3908,AR,true,true,true,true,true,true,true,true,7.0101436749100685,6,""
AR3909,AR,true,true,true,true,true,true,true,true,11.355436388403177,6,""
AR3910,AR,true,true,true,true,true,true,true,true,9.947179276496172,6,""
AR3911,AR,true,true,true,true,true,true,true,true,5.227935072034597,6,""
AR3914,AR,true,true,true,true,true,true,true,true,5.494327202439308,6,""
AR3915,AR,true,true,true,true,true,true,true,true,7.886797498911619,6,""
AR3917,AR,true,true,true,true,true,true,true,true,8.037607982754707,6,""
AR3918,AR,true,true,true,true,true,true,true,true,7.89797405526042,6,""
AR3919,AR,true,true,true,true,true,true,true,true,8.786469757556915,6,""
AR3920,AR,true,true,true,true,true,true,true,true,7.770978346467018,6,""
AR3921,AR,true,true,true,true,true,true,true,true,4.073016747832298,6,""
AR3922,AR,true,true,true,true,true,true,true,true,4.7857414074242115,6,""
AR3923,AR,true,true,true,true,true,true,true,true,6.286528445780277,6,""
AR3924,AR,true,true,true,true,true,true,true,true,4.91690307110548,6,""
AR3941,AR,true,true,true,true,true,true,true,true,8.059698190540075,6,""
AR3942,AR,true,true,true,true,true,true,true,true,6.882805593311787,6,""
AR3944,AR,true,true,true,true,true,true,true,true,5.67521146684885,6,""
AR3949,AR,true,true,true,true,true,true,true,true,7.625033650547266,6,""
AR3950,AR,true,true,true,true,true,true,true,true,10.644714392721653,6,""
AR3951,AR,true,true,true,true,true,true,true,true,11.78732843324542,6,""
AR3952,AR,true,true,true,true,true,true,true,true,6.225241087377071,6,""
AR3953,AR,true,true,true,true,true,true,true,true,6.4729592353105545,6,""
AR3961,AR,true,true,true,true,true,true,true,true,4.961042482405901,6,""
AR3962,AR,true,true,true,true,true,true,true,true,7.96429680660367,6,""
AR3963,AR,true,true,true,true,true,true,true,true,8.503132570534945,6,""
AR3964,AR,true,true,true,true,true,true,true,true,6.808043658733368,6,""
AR3966,AR,true,true,true,true,true,true,true,true,5.731725011020899,6,""
AR3967,AR,true,true,true,true,true,true,true,true,5.021598014980555,6,""
AR3968,AR,true,true,true,true,true,true,true,true,8.40571328252554,6,""
AR3970,AR,true,true,true,true,true,true,true,true,5.929693095386028,6,""
AR3971,AR,true,true,true,true,true,true,true,true,8.236342899501324,6,""
AR3972,AR,true,true,true,true,true,true,true,true,11.0987439006567,6,""
AR3973,AR,true,true,true,true,true,true,true,true,5.467016015201807,6,""
AR3974,AR,true,true,true,true,true,true,true,true,5.632155284285545,6,""
AR3975,AR,true,true,true,true,true,true,true,true,6.493085604161024,6,""
AR3976,AR,true,true,true,true,true,true,true,true,7.252151530236006,6,""
AR3977,AR,true,true,true,true,true,true,true,true,7.077043626457453,6,""
AR3978,AR,true,true,true,true,true,true,true,true,9.83881089091301,6,""
AR3979,AR,true,true,true,true,true,true,true,true,6.94240290671587,6,""
AR3980,AR,true,true,true,true,true,true,true,true,9.914852671325207,6,""
AR3981,AR,true,true,true,true,true,true,true,true,10.071396969258785,6,""
AR3982,AR,true,true,true,true,true,true,true,true,9.137447882443666,6,""
AR3983,AR,true,true,true,true,true,true,true,true,8.764195051044226,6,""
AR3985,AR,true,true,true,true,true,true,true,true,10.815960109233856,6,""
AR3992,AR,true,true,true,true,true,true,true,true,4.2249465472996235,6,""
AR3993,AR,true,true,true,true,true,true,true,true,9.185334600508213,6,""
AR3994,AR,true,true,true,true,true,true,true,true,7.391542207449675,6,""
AR4015,AR,true,true,true,true,true,true,true,true,6.4276906326413155,6,""
AR4016,AR,true,true,true,true,true,true,true,true,6.379320502281189,6,""
AR4018,AR,true,true,true,true,true,true,true,true,5.3148253336548805,6,""
AR4019,AR,true,true,true,true,true,true,true,true,10.51137300208211,6,""
