seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9386796536796537,roc_auc,0.9438202247191011,0.9152542372881356,0.9545454545454546,0.9333333333333333,59.0,0.9253968253968254,1.0,0.888888888888889
2,0.9358441558441559,roc_auc,0.9438202247191011,0.9152542372881356,0.9545454545454546,0.9333333333333333,59.0,0.9365079365079365,1.0,0.9467455621301775
3,0.9448881673881674,roc_auc,0.8653846153846154,0.7627118644067796,0.7627118644067796,1.0,59.0,0.8666666666666667,0.888888888888889,0.8741258741258742
4,0.9591486291486291,roc_auc,0.8666666666666667,0.7966101694915254,0.8666666666666667,0.8666666666666667,59.0,0.7896825396825397,0.7142857142857143,0.7971491228070177
5,0.9261544011544013,roc_auc,0.8653846153846154,0.7627118644067796,0.7627118644067796,1.0,59.0,0.9571428571428572,1.0,0.9552083333333333
