seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
3,200,fs_a_only,AR4615,AR,1,0.7950281053702053,1
3,200,fs_a_only,AR4143,AR,1,0.9957209609261355,1
3,200,fs_a_only,AR3921,AR,1,0.9179806914963261,1
3,200,fs_a_only,AR4593,AR,1,0.743940596750795,1
3,200,fs_a_only,AR3870,AR,1,0.43229684761116677,0
3,200,fs_a_only,0MC6-260119-R001,0MC,1,0.9205599120505503,1
3,200,fs_a_only,AR4019,AR,0,0.511252065280186,1
3,200,fs_a_only,AR4273,AR,1,0.1809297587794372,0
3,200,fs_a_only,AR4366,AR,1,0.9063303507339042,1
3,200,fs_a_only,AR3981,AR,1,0.6995762407472769,1
3,200,fs_a_only,AR4440,AR,1,0.9944984159728593,1
3,200,fs_a_only,AR-3421,AR,1,0.9143127167862811,1
3,200,fs_a_only,0MC2-251022-003,0MC,1,0.8531546566494378,1
3,200,fs_a_only,AR4313,AR,1,0.9777627937082731,1
3,200,fs_a_only,AR4262,AR,0,0.1442250181135742,0
3,200,fs_a_only,AR4478,AR,1,0.9917544261758394,1
3,200,fs_a_only,AR4267,AR,1,0.9808419929938512,1
3,200,fs_a_only,AR4536,AR,1,0.9952849686338983,1
3,200,fs_a_only,AR4217,AR,1,0.9921727662581786,1
3,200,fs_a_only,0MC2-251111-008,0MC,1,0.9975399684995813,1
3,200,fs_a_only,AR3992,AR,1,0.9972004252147194,1
3,200,fs_a_only,AR4394,AR,0,0.07792076001258952,0
3,200,fs_a_only,AR3685,AR,1,0.5898534002173342,1
3,200,fs_a_only,AR3776,AR,1,0.5295590270365389,1
3,200,fs_a_only,AR4239,AR,0,0.13334099470267266,0
3,200,fs_a_only,0MC2-251222-001,0MC,0,0.5290536517795403,1
3,200,fs_a_only,AR4579,AR,1,0.935713757664678,1
3,200,fs_a_only,AR4456,AR,0,0.33200740637945747,0
3,200,fs_a_only,AR3887,AR,1,0.8881570244093693,1
3,200,fs_a_only,AR4110,AR,1,0.9634593080744694,1
3,200,fs_a_only,AR4127,AR,0,0.1207825317491644,0
3,200,fs_a_only,AR4188,AR,1,0.9559818128799455,1
3,200,fs_a_only,AR4643,AR,1,0.7467325200508117,1
3,200,fs_a_only,AR4109,AR,1,0.9867168236603919,1
3,200,fs_a_only,AR4345,AR,1,0.9976713440743666,1
3,200,fs_a_only,AR3773,AR,1,0.9894924344905993,1
3,200,fs_a_only,AR3883,AR,1,0.9952332961581039,1
3,200,fs_a_only,0MC20-251204-R001,0MC,1,0.9802560892438719,1
3,200,fs_a_only,AR3886,AR,1,0.8687938952634372,1
3,200,fs_a_only,AR4353,AR,1,0.9909318391904047,1
3,200,fs_a_only,AR3950,AR,1,0.9853675867508589,1
3,200,fs_a_only,AR3982,AR,0,0.45954158210810075,0
3,200,fs_a_only,AR4402,AR,0,0.2716706356988221,0
3,200,fs_a_only,AR3983,AR,0,0.18177448363680168,0
3,200,fs_a_only,AR4271,AR,1,0.9684875556057655,1
3,200,fs_a_only,AR4315,AR,1,0.9379022123828699,1
3,200,fs_a_only,AR4289,AR,1,0.9885133394792626,1
3,200,fs_a_only,AR4078,AR,1,0.6967478169818845,1
3,200,fs_a_only,AR4439,AR,1,0.9834260009228771,1
3,200,fs_a_only,AR3875,AR,1,0.9835978555126959,1
3,200,fs_a_only,0MC40-260115-R001,0MC,1,0.9496606892397186,1
3,200,fs_a_only,AR3772,AR,1,0.9838029280173038,1
3,200,fs_a_only,AR3909,AR,1,0.9751306839788975,1
3,200,fs_a_only,0MC2-251022-002,0MC,1,0.9767772960662771,1
3,200,fs_a_only,AR3980,AR,0,0.40433878273330626,0
3,200,fs_a_only,0MC2-251107-010,0MC,1,0.9851787827615762,1
3,200,fs_a_only,AR4293,AR,0,0.3009922150442664,0
3,200,fs_a_only,0MC2-251222-005,0MC,0,0.9113604026451382,1
3,200,fs_a_only,AR-2736,AR,0,0.953742208622288,1
3,200,fs_a_plus_cap_c5,AR4615,AR,1,0.8619836435763714,1
3,200,fs_a_plus_cap_c5,AR4143,AR,1,0.9977659142555712,1
3,200,fs_a_plus_cap_c5,AR3921,AR,1,0.9513679714996064,1
3,200,fs_a_plus_cap_c5,AR4593,AR,1,0.8200070807972102,1
3,200,fs_a_plus_cap_c5,AR3870,AR,1,0.9310739612328265,1
3,200,fs_a_plus_cap_c5,0MC6-260119-R001,0MC,1,0.9172439513947915,1
3,200,fs_a_plus_cap_c5,AR4019,AR,0,0.4780050278279287,0
3,200,fs_a_plus_cap_c5,AR4273,AR,1,0.16195416288451178,0
3,200,fs_a_plus_cap_c5,AR4366,AR,1,0.9613952997085048,1
3,200,fs_a_plus_cap_c5,AR3981,AR,1,0.4137328613780774,0
3,200,fs_a_plus_cap_c5,AR4440,AR,1,0.9766487674082884,1
3,200,fs_a_plus_cap_c5,AR-3421,AR,1,0.8587836139397665,1
3,200,fs_a_plus_cap_c5,0MC2-251022-003,0MC,1,0.8898921530019687,1
3,200,fs_a_plus_cap_c5,AR4313,AR,1,0.9659040636561913,1
3,200,fs_a_plus_cap_c5,AR4262,AR,0,0.053183029096381194,0
