seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
4,200,fs_a_only,AR4184,AR,1,0.9694193794175422,1
4,200,fs_a_only,AR4282,AR,1,0.9617834498820889,1
4,200,fs_a_only,AR4239,AR,0,0.03217493916629121,0
4,200,fs_a_only,AR4289,AR,1,0.9841872003723302,1
4,200,fs_a_only,0MC2-251028-002,0MC,1,0.8576991356656718,1
4,200,fs_a_only,AR3884,AR,1,0.1673974154609323,0
4,200,fs_a_only,AR4163,AR,1,0.9780287108948469,1
4,200,fs_a_only,AR4111,AR,1,0.9252910846147285,1
4,200,fs_a_only,AR4293,AR,0,0.4843524030118707,0
4,200,fs_a_only,AR4394,AR,0,0.061403956240491324,0
4,200,fs_a_only,AR4581,AR,0,0.9899847670359461,1
4,200,fs_a_only,AR4643,AR,1,0.8271404537631484,1
4,200,fs_a_only,AR4162,AR,1,0.8718404675769774,1
4,200,fs_a_only,R1350,AR,1,0.154236226876078,0
4,200,fs_a_only,AR4615,AR,1,0.9146091064766295,1
4,200,fs_a_only,0MC2-251022-001,0MC,1,0.5862335555554153,1
4,200,fs_a_only,AR4039,AR,1,0.9820940965780819,1
4,200,fs_a_only,AR4271,AR,1,0.9704721535513279,1
4,200,fs_a_only,AR4188,AR,1,0.9840053492617571,1
4,200,fs_a_only,AR4177,AR,1,0.9906472655607703,1
4,200,fs_a_only,0MC20-251126-R001,0MC,1,0.1923940330514486,0
4,200,fs_a_only,AR4384,AR,1,0.9777634213194611,1
4,200,fs_a_only,0MC8-251216-R001,0MC,1,0.8000912466071533,1
4,200,fs_a_only,AR3910,AR,1,0.9692141145415362,1
4,200,fs_a_only,AR3920,AR,1,0.9758527248190838,1
4,200,fs_a_only,AR4363,AR,1,0.981972682333939,1
4,200,fs_a_only,AR3941,AR,1,0.9256556469931169,1
4,200,fs_a_only,AR4078,AR,1,0.5914173371949905,1
4,200,fs_a_only,0MC2-251222-002,0MC,0,0.09581379379309192,0
4,200,fs_a_only,0MC6-260317-R001,0MC,0,0.14017657788799723,0
4,200,fs_a_only,AR4586,AR,1,0.946359936935942,1
4,200,fs_a_only,0MC2-251107-006,0MC,1,0.9787325026700687,1
4,200,fs_a_only,AR4170,AR,1,0.987668176840582,1
4,200,fs_a_only,AR3885,AR,1,0.34641272120042593,0
4,200,fs_a_only,AR4197,AR,1,0.9723393538612912,1
4,200,fs_a_only,AR4411,AR,0,0.33444382821788443,0
4,200,fs_a_only,AR4526,AR,1,0.9678888046328947,1
4,200,fs_a_only,AR4311,AR,1,0.9286186421738372,1
4,200,fs_a_only,AR4038,AR,1,0.7080961841518589,1
4,200,fs_a_only,AR3854,AR,1,0.9978110920349559,1
4,200,fs_a_only,AR4261,AR,0,0.052203072343336536,0
4,200,fs_a_only,AR4229,AR,1,0.04082646364671739,0
4,200,fs_a_only,AR4139,AR,1,0.9608024755131859,1
4,200,fs_a_only,AR3961,AR,1,0.9551965483185765,1
4,200,fs_a_only,AR3949,AR,1,0.954260702647089,1
4,200,fs_a_only,AR4569,AR,1,0.5131815982632858,1
4,200,fs_a_only,AR4195,AR,0,0.9608906992077182,1
4,200,fs_a_only,AR4598,AR,0,0.024715788948916163,0
4,200,fs_a_only,0MC2-251107-010,0MC,1,0.9750452526160821,1
4,200,fs_a_only,AR4319,AR,0,0.7140318872977749,1
4,200,fs_a_only,AR4433,AR,0,0.624601349370471,1
4,200,fs_a_only,0MC2-251216-023,0MC,1,0.5375874050990429,1
4,200,fs_a_only,AR-3423,AR,1,0.9976673154709711,1
4,200,fs_a_only,AR4441,AR,1,0.9707424944781702,1
4,200,fs_a_only,AR4410,AR,0,0.373285217410468,0
4,200,fs_a_only,AR4305,AR,0,0.4871312033594845,0
4,200,fs_a_only,AR4240,AR,1,0.9711813987861916,1
4,200,fs_a_only,AR4148,AR,1,0.9807790216154895,1
4,200,fs_a_only,AR3971,AR,1,0.9822243017078334,1
4,200,fs_a_plus_cap_c5,AR4184,AR,1,0.997067774529742,1
4,200,fs_a_plus_cap_c5,AR4282,AR,1,0.9869835708125905,1
4,200,fs_a_plus_cap_c5,AR4239,AR,0,0.007232863162796713,0
4,200,fs_a_plus_cap_c5,AR4289,AR,1,0.9933931364106817,1
4,200,fs_a_plus_cap_c5,0MC2-251028-002,0MC,1,0.8246775173781864,1
4,200,fs_a_plus_cap_c5,AR3884,AR,1,0.3509399305925159,0
4,200,fs_a_plus_cap_c5,AR4163,AR,1,0.9790366911442866,1
4,200,fs_a_plus_cap_c5,AR4111,AR,1,0.9061812279864834,1
4,200,fs_a_plus_cap_c5,AR4293,AR,0,0.36626105400273423,0
4,200,fs_a_plus_cap_c5,AR4394,AR,0,0.11119172395450228,0
4,200,fs_a_plus_cap_c5,AR4581,AR,0,0.995088095995231,1
4,200,fs_a_plus_cap_c5,AR4643,AR,1,0.6417767490203266,1
4,200,fs_a_plus_cap_c5,AR4162,AR,1,0.9255912534675389,1
4,200,fs_a_plus_cap_c5,R1350,AR,1,0.05701230350889114,0
4,200,fs_a_plus_cap_c5,AR4615,AR,1,0.824090952584386,1
4,200,fs_a_plus_cap_c5,0MC2-251022-001,0MC,1,0.532839260294058,1
4,200,fs_a_plus_cap_c5,AR4039,AR,1,0.9932623481804689,1
4,200,fs_a_plus_cap_c5,AR4271,AR,1,0.9909713744476895,1
4,200,fs_a_plus_cap_c5,AR4188,AR,1,0.9972371379181783,1
4,200,fs_a_plus_cap_c5,AR4177,AR,1,0.9965605187314995,1
4,200,fs_a_plus_cap_c5,0MC20-251126-R001,0MC,1,0.11560199996328921,0
4,200,fs_a_plus_cap_c5,AR4384,AR,1,0.941727677869908,1
4,200,fs_a_plus_cap_c5,0MC8-251216-R001,0MC,1,0.8745023325595215,1
4,200,fs_a_plus_cap_c5,AR3910,AR,1,0.984395373252079,1
4,200,fs_a_plus_cap_c5,AR3920,AR,1,0.993202739448675,1
4,200,fs_a_plus_cap_c5,AR4363,AR,1,0.9842075588373801,1
4,200,fs_a_plus_cap_c5,AR3941,AR,1,0.9243163435909248,1
4,200,fs_a_plus_cap_c5,AR4078,AR,1,0.7106026921137685,1
4,200,fs_a_plus_cap_c5,0MC2-251222-002,0MC,0,0.02912556504851435,0
4,200,fs_a_plus_cap_c5,0MC6-260317-R001,0MC,0,0.18314079893735197,0
4,200,fs_a_plus_cap_c5,AR4586,AR,1,0.9305583776946421,1
4,200,fs_a_plus_cap_c5,0MC2-251107-006,0MC,1,0.9836509937541567,1
4,200,fs_a_plus_cap_c5,AR4170,AR,1,0.992385459908583,1
4,200,fs_a_plus_cap_c5,AR3885,AR,1,0.3454594177028556,0
4,200,fs_a_plus_cap_c5,AR4197,AR,1,0.9920781545895139,1
4,200,fs_a_plus_cap_c5,AR4411,AR,0,0.4795017039686144,0
4,200,fs_a_plus_cap_c5,AR4526,AR,1,0.9872914002992413,1
4,200,fs_a_plus_cap_c5,AR4311,AR,1,0.9186497577772176,1
4,200,fs_a_plus_cap_c5,AR4038,AR,1,0.7511783045784124,1
4,200,fs_a_plus_cap_c5,AR3854,AR,1,0.9966689056859908,1
4,200,fs_a_plus_cap_c5,AR4261,AR,0,0.07157311215312766,0
4,200,fs_a_plus_cap_c5,AR4229,AR,1,0.06459986716349472,0
4,200,fs_a_plus_cap_c5,AR4139,AR,1,0.9847228961083281,1
4,200,fs_a_plus_cap_c5,AR3961,AR,1,0.9826458892007004,1
4,200,fs_a_plus_cap_c5,AR3949,AR,1,0.8863726751003899,1
4,200,fs_a_plus_cap_c5,AR4569,AR,1,0.22385818448699787,0
4,200,fs_a_plus_cap_c5,AR4195,AR,0,0.9564713280185705,1
4,200,fs_a_plus_cap_c5,AR4598,AR,0,0.006155838542070681,0
4,200,fs_a_plus_cap_c5,0MC2-251107-010,0MC,1,0.9849603083515954,1
4,200,fs_a_plus_cap_c5,AR4319,AR,0,0.6894242231650622,1
4,200,fs_a_plus_cap_c5,AR4433,AR,0,0.7033768375775988,1
4,200,fs_a_plus_cap_c5,0MC2-251216-023,0MC,1,0.39591837722649287,0
4,200,fs_a_plus_cap_c5,AR-3423,AR,1,0.9990379922336887,1
4,200,fs_a_plus_cap_c5,AR4441,AR,1,0.9899405087480689,1
4,200,fs_a_plus_cap_c5,AR4410,AR,0,0.7294815935629633,1
4,200,fs_a_plus_cap_c5,AR4305,AR,0,0.3167572163525812,0
4,200,fs_a_plus_cap_c5,AR4240,AR,1,0.9654421482073028,1
4,200,fs_a_plus_cap_c5,AR4148,AR,1,0.9929617001606424,1
4,200,fs_a_plus_cap_c5,AR3971,AR,1,0.9951341516484785,1
4,300,fs_a_only,AR4581,AR,0,0.8677984812670234,1
4,300,fs_a_only,AR4053,AR,1,0.86175041115818,1
4,300,fs_a_only,AR4278,AR,1,0.3126322037168527,0
4,300,fs_a_only,AR4239,AR,0,0.06475612813077411,0
4,300,fs_a_only,R1350,AR,1,0.07163483799766585,0
4,300,fs_a_only,AR4259,AR,1,0.8508492224121348,1
4,300,fs_a_only,AR3921,AR,1,0.8140640301095409,1
4,300,fs_a_only,AR4479,AR,0,0.635178084797559,1
4,300,fs_a_only,AR4273,AR,1,0.09387579600261535,0
4,300,fs_a_only,AR4144,AR,1,0.9019416604681372,1
4,300,fs_a_only,0MC2-251022-001,0MC,1,0.5432919341782422,1
4,300,fs_a_only,AR3918,AR,1,0.8150622799377407,1
4,300,fs_a_only,AR3966,AR,1,0.9133032703455906,1
4,300,fs_a_only,AR4086,AR,1,0.920627970958324,1
4,300,fs_a_only,AR4549,AR,1,0.746581785714976,1
4,300,fs_a_only,AR4021,AR,0,0.2506034045902388,0
4,300,fs_a_only,0MC6-260108-R001,0MC,0,0.6179768465509415,1
4,300,fs_a_only,AR4598,AR,0,0.032116346680392906,0
4,300,fs_a_only,AR4195,AR,0,0.7715265927209206,1
4,300,fs_a_only,AR4359,AR,1,0.9173898201722245,1
4,300,fs_a_only,0MC8-251216-R001,0MC,1,0.6220373154554912,1
