seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,200,fs_a_plus_cap_c5,AR3994,AR,1,0.9537665727135244,1
0,200,fs_a_plus_cap_c5,AR3970,AR,1,0.9800835040796965,1
0,200,fs_a_plus_cap_c5,AR4277,AR,1,0.8312280206038216,1
0,200,fs_a_plus_cap_c5,AR3922,AR,1,0.9811353843401066,1
0,200,fs_a_plus_cap_c5,AR4170,AR,1,0.9659699390729682,1
0,200,fs_a_plus_cap_c5,AR4199,AR,1,0.9814757631877331,1
0,200,fs_a_plus_cap_c5,AR3773,AR,1,0.9658960726077729,1
0,200,fs_a_plus_cap_c5,AR3875,AR,1,0.978525676827716,1
0,200,fs_a_plus_cap_c5,AR4018,AR,0,0.17294453501954438,0
0,200,fs_a_plus_cap_c5,AR4195,AR,0,0.9650746865703677,1
0,200,fs_a_plus_cap_c5,AR4310,AR,1,0.9896857978919857,1
0,200,fs_a_plus_cap_c5,AR4433,AR,0,0.7112373399062711,1
0,200,fs_a_plus_cap_c5,AR4581,AR,0,0.9647816229144793,1
0,200,fs_a_plus_cap_c5,0MC2-251222-002,0MC,0,0.30134928355070506,0
0,200,fs_a_plus_cap_c5,AR4042,AR,1,0.9902510824287238,1
0,200,fs_a_plus_cap_c5,AR4194,AR,1,0.9647799261289716,1
0,200,fs_a_plus_cap_c5,0MC2-251029-002,0MC,1,0.9883608598375616,1
0,200,fs_a_plus_cap_c5,AR4198,AR,1,0.9644264629975368,1
0,200,fs_a_plus_cap_c5,AR4306,AR,0,0.236495323931639,0
0,200,fs_a_plus_cap_c5,AR4353,AR,1,0.9662710721754949,1
0,200,fs_a_plus_cap_c5,AR4555,AR,1,0.9593357605527787,1
0,200,fs_a_plus_cap_c5,AR4037,AR,1,0.9784269096422479,1
0,200,fs_a_plus_cap_c5,0MC6-260317-R001,0MC,0,0.1672438871747609,0
0,200,fs_a_plus_cap_c5,0MC6-260317-R005,0MC,1,0.7932741322335379,1
0,200,fs_a_plus_cap_c5,AR4197,AR,1,0.9892306405029335,1
0,200,fs_a_plus_cap_c5,AR4110,AR,1,0.9706929167670226,1
0,200,fs_a_plus_cap_c5,AR3992,AR,1,0.9891502227373684,1
0,200,fs_a_plus_cap_c5,AR3876,AR,1,0.964267580128445,1
0,200,fs_a_plus_cap_c5,AR4293,AR,0,0.236734446447147,0
0,200,fs_a_plus_cap_c5,AR3968,AR,1,0.9658903634711744,1
0,200,fs_a_plus_cap_c5,AR4549,AR,1,0.9898017542966631,1
