cell_name,cohort,dqv_norm_c5_c1_var_log10,dqv_norm_c5_c1_min,dqv_norm_c5_c1_mean,dqv_norm_c5_c1_skew
0MC2-251022-001,0MC,-5.464101857634551,-0.011716444940170847,-0.006915676842917146,-0.6709151714225902
0MC2-251022-002,0MC,-5.585167880617176,-0.009690099229036573,-0.005594240719184005,-0.7595211459193429
0MC2-251022-003,0MC,-5.430538756426949,-0.009960461867493884,-0.005249893068590515,-0.7618002765157732
0MC2-251022-004,0MC,-5.652476990612677,-0.009238172036718032,-0.00595892266909939,0.08096610933597573
0MC2-251028-002,0MC,-5.174837653925366,-0.009304921853260682,-0.006565160259744876,1.0081834517779664
0MC2-251029-001,0MC,-5.957811256312434,-0.0056258966795925585,-0.0030524799773957475,-0.8975769488891806
0MC2-251029-002,0MC,-5.26626426236164,-0.011798772309019068,-0.007959956083328062,0.9762550299518085
0MC2-251029-003,0MC,-5.077241855740937,-0.014797419053015792,-0.007446002030265848,-0.26290664343459885
0MC2-251107-006,0MC,-5.445464194924046,-0.01097105258712726,-0.006448165473645739,-0.17213096221768548
0MC2-251107-010,0MC,-5.50499361687053,-0.01068747963675904,-0.0065297262375428045,0.6133757434086564
0MC2-251111-003,0MC,-5.472636470230851,-0.009910284139025585,-0.006657626981622888,1.1036609978989373
0MC2-251111-006,0MC,-4.961648091807796,-0.01670168514611933,-0.011328185866536332,0.02954417132482256
0MC2-251111-008,0MC,-5.455574713650712,-0.011718194206156135,-0.006834334576209985,-0.3909838057970833
0MC2-251112-010,0MC,-4.892096182360324,-0.024308688195618048,-0.015079000043482914,-0.7176102772770292
0MC2-251118-003,0MC,-4.899273228810223,-0.018936568564629067,-0.01102192585081046,-0.6597784202536116
0MC2-251118-004,0MC,-4.846401117394802,-0.01914694487389624,-0.011826481850662533,-0.4233568821454087
0MC2-251118-005,0MC,-4.7266679369581395,-0.02412094941094997,-0.013616578951668396,-0.9196569558415376
