seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,350,5,0.003138944772149313,0.9590655371515526,0.8917964172249472,2,0.040906755925032415,0.007420177586207235
2,350,4,0.005238619432131899,0.8361538882401314,0.6482903213230427,2,0.020016330070909465,3.2537027052010288
3,200,6,0.0032272033416163256,0.6006893555215366,0.757017529908721,1,0.008596905035784811,0.028099904864390297
4,75,2,0.005383377786097993,0.5095618685858955,0.6208113822610593,1,0.0001309361594197746,7.553568359018359
5,325,9,0.009392477542513787,0.5942715704947182,0.5698360419524795,6,0.0008919542477987372,0.06694753037225833
