seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8642212454212453,roc_auc,0.8169014084507042,0.74,0.7435897435897436,0.90625,50.0,0.8454861111111112,0.7666666666666667,0.8796296296296297
2,0.8625311355311356,roc_auc,0.8695652173913043,0.82,0.8108108108108109,0.9375,50.0,0.8871527777777777,1.0,0.8904665314401622
3,0.8622886446886447,roc_auc,0.8695652173913043,0.82,0.8108108108108109,0.9375,50.0,0.8680555555555556,0.8,0.8765432098765432
4,0.88974652014652,roc_auc,0.8767123287671232,0.82,0.7804878048780488,1.0,50.0,0.8289930555555556,0.6000000000000001,0.8530864197530864
5,0.8670813186813187,roc_auc,0.8533333333333334,0.78,0.7441860465116279,1.0,50.0,0.8645833333333333,1.0,0.8981481481481481
