seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,128,64,0,0.04579618700012205,9,5
2,256,8,2,0.011976953168538378,9,4
3,384,8,2,0.01588864516812663,2,5
4,320,48,1,0.040704839530649295,9,6
5,448,40,3,0.01589399503181247,2,2
