seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,175,14,9,20,sqrt
2,200,15,10,18,
3,200,14,8,14,sqrt
4,200,18,18,14,log2
5,225,16,16,5,sqrt
