seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.7363487911875009,f1_at_N,83.0,37.0,0.7515337423312883,0.9527972027972028,0.6190476190476191,0.8500797448165869,0.6666666666666666,0.8052173913043478,0.7346938775510204,,0.7433439829605963
2,0.7421458222928811,f1_at_N,83.0,37.0,0.773176291793313,0.8916666666666667,0.6511627906976745,0.8203266787658802,0.7441860465116279,0.8604118993135011,0.8636363636363636,0.5588235294117647,0.8095512082853855
3,0.7607739938080496,f1_at_N,83.0,37.0,0.7323848238482384,0.9619834710743801,0.5,0.7972972972972974,0.5652173913043478,0.7380952380952381,0.56,,0.7310469314079422
4,0.7291973791973791,f1_at_N,83.0,37.0,0.8158682634730539,0.9619047619047619,0.6363636363636364,0.9375,0.7142857142857143,0.8391608391608391,0.6956521739130435,0.8571428571428571,0.8198294243070362
5,0.7251948051948052,f1_at_N,83.0,37.0,0.7938299473288186,0.9166666666666666,0.5365853658536586,0.8284313725490196,0.7272727272727273,0.8904347826086956,0.8163265306122449,0.8461538461538461,0.7935267857142857
