seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8719692307692309,roc_auc,0.7901234567901234,0.66,0.6530612244897959,1.0,50.0,0.8975694444444444,0.8666666666666667,0.9012345679012345
2,0.8827003663003662,roc_auc,0.84375,0.8,0.84375,0.84375,50.0,0.875,1.0,0.8823529411764706
3,0.892704761904762,roc_auc,0.8493150684931506,0.78,0.7560975609756098,0.96875,50.0,0.8819444444444444,1.0,0.8691358024691358
4,0.8928351648351649,roc_auc,0.835820895522388,0.78,0.8,0.875,50.0,0.8645833333333333,0.8,0.8814814814814815
5,0.885803663003663,roc_auc,0.8695652173913043,0.82,0.8108108108108109,0.9375,50.0,0.8576388888888888,1.0,0.8425925925925926
