seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8585856984303156,f1,0.8656716417910447,0.82,0.8285714285714286,0.90625,50.0,0.9166666666666667,0.8666666666666667,0.9166666666666667
2,0.8734778121775026,f1,0.84375,0.8,0.84375,0.84375,50.0,0.8993055555555556,1.0,0.9006085192697769
3,0.8627178032638632,f1,0.8169014084507042,0.74,0.7435897435897436,0.90625,50.0,0.8645833333333334,1.0,0.8518518518518519
4,0.8731369806663924,f1,0.8181818181818182,0.76,0.7941176470588235,0.84375,50.0,0.8628472222222222,0.9333333333333333,0.8765432098765432
5,0.8653217205910704,f1,0.8656716417910447,0.82,0.8285714285714286,0.90625,50.0,0.8784722222222222,1.0,0.8680555555555556
