seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,550,5,0.005219654584485166,0.5625108632423782,0.6537458385994666,1,0.015931404666225335,0.18624470315839717
2,250,4,0.11132398551011358,0.8114921521486648,0.6414122919697719,2,0.016639353873197777,0.0010379856103319332
3,50,8,0.05886484743384938,0.6970104832177797,0.5895608359876863,3,0.001176695443556991,0.21751928539543103
4,475,4,0.02399390283253277,0.9363356061069709,0.6494336574491604,1,0.05459543438129159,0.0020657936371640965
5,175,9,0.143315167859473,0.961374806972835,0.5011071062662218,5,0.8430919651961901,0.03942568208707974
