seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8665547201336675,auc_at_N,83.0,37.0,0.7208588957055214,0.9388111888111887,0.6190476190476191,0.7767145135566188,0.6222222222222222,0.7408695652173913,0.6530612244897959,,0.7177848775292864
2,0.8413713431596894,auc_at_N,83.0,37.0,0.8191489361702128,0.8933333333333333,0.6511627906976745,0.8493647912885662,0.7441860465116279,0.9061784897025171,0.8636363636363636,0.7647058823529411,0.8377445339470656
3,0.8621539141972578,auc_at_N,83.0,37.0,0.7100271002710027,0.9371900826446281,0.5,0.7387387387387387,0.6086956521739131,0.6994047619047619,0.6,,0.6913357400722022
4,0.829142010595184,auc_at_N,83.0,37.0,0.8001497005988024,0.946031746031746,0.6363636363636364,0.9079861111111112,0.7142857142857143,0.8304195804195804,0.6956521739130435,0.8571428571428571,0.8006396588486141
5,0.8525224170127821,auc_at_N,83.0,37.0,0.7900677200902935,0.918560606060606,0.5365853658536586,0.8447712418300654,0.7272727272727273,0.8939130434782608,0.8163265306122449,0.7948717948717948,0.7845982142857143
