seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.9362280255675509,auc_at_N,83.0,37.0,0.7476993865030674,0.9423076923076923,0.6190476190476191,0.835725677830941,0.6666666666666666,0.8017391304347826,0.7346938775510204,,0.7412140575079872
2,0.9413807198017723,auc_at_N,83.0,37.0,0.7826747720364742,0.8916666666666667,0.6511627906976745,0.8294010889292195,0.7441860465116279,0.8581235697940504,0.8636363636363636,0.6176470588235294,0.806674338319908
3,0.935811930247414,auc_at_N,83.0,37.0,0.733739837398374,0.9586776859504132,0.5,0.7897897897897899,0.5217391304347826,0.7425595238095238,0.56,,0.7292418772563177
4,0.9294678214966696,auc_at_N,83.0,37.0,0.8158682634730539,0.965079365079365,0.6363636363636364,0.9375,0.7142857142857143,0.8391608391608392,0.7391304347826086,0.9142857142857143,0.8176972281449894
5,0.9387508465832619,auc_at_N,83.0,37.0,0.7840481565086531,0.9223484848484849,0.5365853658536586,0.8316993464052287,0.6818181818181818,0.8747826086956522,0.8163265306122449,0.7948717948717948,0.7868303571428571
