seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,512,32,0,0.09994496984130967,12,7
2,192,56,1,0.003014445886137231,6,4
3,192,32,0,0.00315383875358685,11,2
4,512,40,3,0.058977436427299364,15,3
5,64,40,2,0.27638289231322744,6,7
