seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8512962379859955,f1,0.8571428571428571,0.8,0.7894736842105263,0.9375,50.0,0.8784722222222222,0.7666666666666667,0.9228395061728395
2,0.8442797512564955,f1,0.8823529411764706,0.84,0.8333333333333334,0.9375,50.0,0.8541666666666667,1.0,0.8620689655172413
3,0.8499760451764411,f1,0.8611111111111112,0.8,0.775,0.96875,50.0,0.9079861111111112,1.0,0.8962962962962963
4,0.8551311433664375,f1,0.8181818181818182,0.76,0.7941176470588235,0.84375,50.0,0.8194444444444444,0.7333333333333334,0.8320987654320988
5,0.8524246257642841,f1,0.8235294117647058,0.76,0.7777777777777778,0.875,50.0,0.8524305555555556,1.0,0.8703703703703703
