cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
AR3992,AR,49.68000000000001,45.9,60.839999999999996,60.3,-3.7800000000000082,-0.5399999999999991
AR3993,AR,52.2,49.68000000000001,63.17999999999999,65.34,-2.519999999999996,2.160000000000011
AR3994,AR,52.2,47.52,65.34,65.34,-4.68,0.0
AR4015,AR,49.68000000000001,57.06,60.11999999999999,56.34,7.3799999999999955,-3.779999999999987
AR4016,AR,52.02,58.67999999999999,54.18,49.68000000000001,6.6599999999999895,-4.499999999999993
AR4018,AR,57.24,76.32,62.459999999999994,60.839999999999996,19.07999999999999,-1.6199999999999974
AR4019,AR,54.18,77.58,69.84,67.68,23.4,-2.1599999999999966
AR4020,AR,52.02,78.3,67.86,67.68,26.279999999999994,-0.1799999999999926
AR4021,AR,56.16,69.75,56.52,54.18,13.590000000000003,-2.3400000000000034
AR4023,AR,54.18,74.33999999999999,67.68,67.68,20.15999999999999,0.0
AR4024,AR,52.02,76.67999999999999,67.68,64.62,24.65999999999999,-3.0600000000000023
AR4035,AR,54.36,47.52,67.68,67.68,-6.839999999999996,0.0
AR4037,AR,52.38000000000001,47.88,66.06,65.34,-4.500000000000007,-0.7199999999999989
AR4038,AR,54.18,48.06,65.34,65.34,-6.119999999999997,0.0
AR4039,AR,54.36,47.52,67.68,67.68,-6.839999999999996,0.0
AR4041,AR,50.040000000000006,47.52,65.52,65.7,-2.520000000000003,0.18000000000000682
AR4042,AR,52.02,47.52,65.34,67.68,-4.5,2.3400000000000034
AR4053,AR,49.68000000000001,49.86000000000001,70.02,66.42,0.17999999999999972,-3.5999999999999943
AR4055,AR,49.68000000000001,50.040000000000006,63.36,65.34,0.35999999999999943,1.980000000000004
AR4056,AR,52.02,49.86000000000001,66.96,67.68,-2.1599999999999966,0.7200000000000131
AR4057,AR,NaN,NaN,NaN,NaN,NaN,NaN
AR4064,AR,49.68000000000001,49.86000000000001,47.52,47.52,0.17999999999999972,0.0
AR4065,AR,49.68000000000001,49.86000000000001,47.52,47.52,0.17999999999999972,0.0
AR4068,AR,58.85999999999999,47.52,49.68000000000001,49.68000000000001,-11.33999999999999,0.0
AR4069,AR,58.85999999999999,47.52,48.42,50.400000000000006,-11.33999999999999,1.980000000000004
AR4070,AR,49.86000000000001,47.7,58.67999999999999,63.17999999999999,-2.1600000000000037,4.5
AR4071,AR,49.86000000000001,47.7,60.839999999999996,63.17999999999999,-2.1600000000000037,2.3399999999999963
AR4072,AR,49.86000000000001,47.7,67.68,67.68,-2.1600000000000037,0.0
AR4078,AR,49.86000000000001,49.68000000000001,47.52,50.940000000000005,-0.17999999999999972,3.4200000000000017
AR4080,AR,47.7,55.26,65.34,64.44,7.559999999999995,-0.9000000000000057
AR4082,AR,52.38000000000001,49.86000000000001,68.4,65.25000000000001,-2.520000000000003,-3.1499999999999915
AR4084,AR,49.86000000000001,47.7,52.02,56.34,-2.1600000000000037,4.32
AR4085,AR,52.02,47.7,54.18,47.52,-4.32,-6.659999999999997
AR4086,AR,52.02,49.86000000000001,57.6,58.67999999999999,-2.1599999999999966,1.0799999999999912
AR4088,AR,47.52,52.02,45.18,47.52,4.5,2.3400000000000034
AR4095,AR,52.02,47.7,49.68000000000001,52.02,-4.32,2.3399999999999963
AR4098,AR,49.86000000000001,47.7,62.81999999999999,64.08,-2.1600000000000037,1.2600000000000051
AR4100,AR,49.68000000000001,50.760000000000005,68.04,67.68,1.0799999999999983,-0.35999999999999943
AR4101,AR,49.68000000000001,50.400000000000006,67.68,67.68,0.7199999999999989,0.0
AR4102,AR,49.68000000000001,49.86000000000001,67.68,67.68,0.17999999999999972,0.0
AR4109,AR,53.46,74.33999999999999,63.9,61.379999999999995,20.87999999999999,-2.520000000000003
AR4110,AR,52.739999999999995,52.2,66.6,64.98,-0.539999999999992,-1.6199999999999903
AR4111,AR,52.02,52.919999999999995,62.99999999999999,61.379999999999995,0.8999999999999915,-1.6199999999999974
AR4115,AR,53.64,63.54,69.84,67.68,9.899999999999999,-2.1599999999999966
AR4116,AR,66.96,67.5,69.84,67.68,0.5400000000000063,-2.1599999999999966
AR4121,AR,52.2,47.7,67.68,66.96,-4.5,-0.7200000000000131
AR4122,AR,54.54,48.06,67.68,65.52,-6.479999999999997,-2.160000000000011
