seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8227908005307386,f1_at_N,83.0,37.0,0.7530674846625767,0.9405594405594406,0.6190476190476191,0.8118022328548644,0.6666666666666666,0.7860869565217392,0.7346938775510204,,0.739084132055378
2,0.7809263200567548,f1_at_N,83.0,37.0,0.7777355623100304,0.895,0.6511627906976745,0.8239564428312159,0.7441860465116279,0.8558352402745996,0.8636363636363636,0.5588235294117647,0.8037974683544303
3,0.8120630455924573,f1_at_N,83.0,37.0,0.763550135501355,0.9520661157024793,0.5,0.8273273273273273,0.6956521739130435,0.7991071428571429,0.76,,0.7509025270758123
4,0.8066759066759067,f1_at_N,83.0,37.0,0.8263473053892215,0.9619047619047618,0.6363636363636364,0.9375,0.7142857142857143,0.8548951048951049,0.7391304347826086,0.8857142857142857,0.8326226012793176
5,0.7944263863768508,f1_at_N,83.0,37.0,0.7795334838224228,0.9090909090909091,0.5365853658536586,0.818627450980392,0.6818181818181818,0.88,0.8163265306122449,0.7948717948717948,0.7823660714285714
