seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,512,32,1,0.002181909505917965,2,2
2,320,32,1,0.00249212159101343,14,8
3,384,40,1,0.0036098345510045347,9,5
4,192,32,2,0.0011314342131166681,6,5
5,64,24,3,0.036724941887446655,17,5
