seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8853935413245757,auc_at_N,83.0,37.0,0.7078220858895705,0.8933566433566434,0.5714285714285714,0.7224880382775118,0.5777777777777777,0.728695652173913,0.6938775510204082,,0.7092651757188498
2,0.8598717948717949,auc_at_N,83.0,37.0,0.8328267477203647,0.8916666666666667,0.6511627906976745,0.8620689655172413,0.7441860465116279,0.897025171624714,0.8181818181818182,0.6764705882352942,0.859608745684695
3,0.8793836096853338,auc_at_N,83.0,37.0,0.744579945799458,0.9553719008264463,0.5,0.7912912912912913,0.6086956521739131,0.7425595238095238,0.6,,0.7346570397111913
4,0.8353714028043482,auc_at_N,83.0,37.0,0.7994011976047904,0.9452380952380952,0.6363636363636364,0.9305555555555556,0.6976744186046512,0.8347902097902098,0.7346938775510204,0.9571428571428572,0.7883795309168443
5,0.866217793665002,auc_at_N,83.0,37.0,0.7915726109857035,0.9147727272727272,0.5365853658536586,0.8496732026143791,0.6363636363636364,0.8747826086956522,0.7755102040816326,0.8461538461538461,0.78125
