seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,128,64,0,0.04579618700012205,9,5
2,256,8,0,0.001466644128316737,20,8
3,192,24,1,0.13540878653133187,13,3
4,384,32,2,0.022334072832589303,20,5
5,64,24,3,0.036724941887446655,17,5
