seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,300,10,0.007504309855073649,0.8861354201556939,0.6662818255272068,10,0.02325989937504308,0.01485443842452302
2,250,8,0.0021482016108896307,0.9209356977078624,0.9376122482134512,3,0.00014144329787419297,0.12658124026677456
3,400,3,0.0029431178528756454,0.670294381627289,0.7475550669681222,3,0.010328095630808458,1.348260777135478
4,450,9,0.02520267261005396,0.8048472248601296,0.8211195374835571,4,0.0013121312790206137,0.08777375349873807
5,450,9,0.0017719023519905295,0.9629876661861351,0.7276330107127188,7,0.05006173356154463,1.3196670032877507
