seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,aft_loss_distribution,aft_loss_distribution_scale
1,175,2,0.025907850382301072,0.8328939459883999,0.7467606260990527,normal,1.0806376859155487
2,100,3,0.0018635809191554736,0.6598721619591046,0.8063492644333993,logistic,1.2568675355227052
3,250,2,0.014540440288567475,0.7530871949609224,0.6309411534696594,normal,1.3831866746563366
4,300,9,0.003088089651634089,0.9314966177996111,0.9917003385876564,logistic,1.079856923965444
5,350,9,0.0049066559664067335,0.9521385760908344,0.9392072989479242,logistic,1.3846134156022787
