seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,aft_loss_distribution,aft_loss_distribution_scale
1,175,3,0.07199521049126027,0.9982359796656642,0.7150880697322721,extreme,0.7774847363984917
2,100,4,0.03598460769315335,0.5980892101475629,0.6527508679729377,normal,0.7096122154737868
3,100,8,0.0010796325812501507,0.5085732328327786,0.9619225629580357,normal,0.8060383978397968
4,325,8,0.004250061843370459,0.7773704314712793,0.8124654220320489,normal,0.787169603178445
5,300,10,0.00973272949849879,0.9068662387934591,0.7732282489862389,normal,0.6297885326033077
