seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.7370821031115148,f1_at_N,83.0,37.0,0.7914110429447853,0.9195804195804196,0.5714285714285714,0.8644338118022329,0.7111111111111111,0.8747826086956522,0.8163265306122449,,0.7731629392971247
2,0.7265079929553615,f1_at_N,83.0,37.0,0.7720364741641338,0.8733333333333333,0.6046511627906976,0.8330308529945554,0.6976744186046512,0.8352402745995424,0.7272727272727273,0.5588235294117647,0.7813578826237054
3,0.7507167977756213,f1_at_N,83.0,37.0,0.7903116531165312,0.9619834710743801,0.5,0.8603603603603605,0.6956521739130435,0.8005952380952381,0.72,,0.7712093862815884
4,0.7387878787878787,f1_at_N,83.0,37.0,0.8300898203592815,0.9428571428571428,0.6363636363636364,0.953125,0.7619047619047619,0.9038461538461539,0.782608695652174,0.8285714285714286,0.8294243070362474
5,0.747563025210084,f1_at_N,83.0,37.0,0.8096313017306245,0.9071969696969697,0.5365853658536586,0.8545751633986928,0.6363636363636364,0.871304347826087,0.7346938775510204,0.8974358974358975,0.7868303571428571
