seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,256,48,0,0.0056093745746220594,4,2
2,384,64,3,0.004798032073901399,2,2
3,448,40,2,0.006122510439629448,5,4
4,320,64,2,0.001853566314925821,5,5
5,384,40,2,0.004554767215001414,7,3
