seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,225,8,0.02243885387937112,0.6350580875310282,0.7975246350217495,7,0.0007971225020196637,0.029240601200088402
2,375,4,0.1183362854038484,0.917407251929556,0.8551017857638696,10,0.9871689737559648,0.03139011209859935
3,600,4,0.05032257874167331,0.8655587009700874,0.621298756912804,5,0.0019420743525781288,0.04875863670612445
4,175,10,0.07228670783189452,0.9001439961635951,0.7712160569302792,3,0.21481646208383715,0.31507254516536065
5,450,4,0.021105881199140804,0.697755466498499,0.9693677409136431,9,0.0006956564895901053,0.0026600009684770547
