cell_name,cohort,dqdv_peak_v_c5_dis,dqdv_peak_v_shift_c1c5_dis,dqdv_charge_discharge_hysteresis_c5,dqdv_cosine_sim_c1c5_dis
0MC2-251022-001,0MC,3.629599999999875,-0.008699999999999264,0.09250000000008729,0.9995928482034452
0MC2-251022-002,0MC,3.634399999999875,-0.014599999999998392,0.06980000000008646,0.9996204353903282
0MC2-251022-003,0MC,3.5958899999998795,0.0020199999999999108,0.2304800000000986,0.9997550506547804
0MC2-251022-004,0MC,3.6017999999998787,0.0071099999999990615,0.2242800000000975,0.999771120192513
0MC2-251028-002,0MC,3.6203999999998766,0.009299999999999198,0.20440000000009606,0.9995619282850267
0MC2-251029-001,0MC,3.579919999999881,0.02598999999999707,0.2582700000000968,0.9997802787381666
0MC2-251029-002,0MC,3.5877399999998802,0.000010000000000065512,0.24986000000009678,0.9997303923396854
0MC2-251029-003,0MC,3.58980999999988,-0.0031199999999995676,0.23910000000009646,0.999469244488899
0MC2-251107-006,0MC,3.577899999999881,-0.0029999999999996696,0.25870000000009696,0.9997116933817024
0MC2-251107-010,0MC,3.606699999999878,0.004799999999999471,0.22250000000009207,0.9995938265058228
0MC2-251111-003,0MC,3.607199999999878,0.013899999999998691,0.22170000000009615,0.9995182823532207
0MC2-251111-006,0MC,3.6201999999998766,0.0,0.18890000000010154,0.9987141909531443
0MC2-251111-008,0MC,3.573199999999882,-0.01639999999999775,0.25830000000010056,0.9995531103008642
0MC2-251112-010,0MC,3.577499999999881,-0.018699999999998163,0.2427000000000996,0.9982572288536082
0MC2-251118-003,0MC,3.59174999999988,-0.01216999999999846,0.17493000000010595,0.9988319197569847
0MC2-251118-004,0MC,3.5928999999998794,-0.006999999999999229,0.2265000000001023,0.9989970094089162
0MC2-251118-005,0MC,3.595399999999879,-0.011899999999998911,0.2192000000001033,0.9985213961845818
0MC2-251120-007,0MC,3.600739999999879,-0.0021799999999996267,0.164500000000106,0.9984722069019866
0MC2-251125-005,0MC,3.578699999999881,-0.043799999999995176,0.24840000000009965,0.998312383829591
0MC2-251125-009,0MC,3.606899999999878,-0.006599999999999273,0.21130000000010218,0.9981211628709633
0MC2-251125-012,0MC,3.597799999999879,-0.010109999999998731,0.22445000000009818,0.9986162541038369
0MC2-251202-007,0MC,3.6597999999998723,0.011299999999998978,0.16100000000010928,0.9978334243738821
0MC2-251202-010,0MC,3.5688699999998823,-0.04496999999999485,0.2561400000000966,0.9981971193861403
0MC2-251205-010,0MC,3.597709999999879,-0.00005999999999994898,0.23764000000009533,0.9990878420211793
0MC2-251216-014,0MC,3.59288999999988,-0.009019999999998696,0.23422000000009646,0.9996296215804814
0MC2-251216-019,0MC,3.5878799999998803,-0.020009999999997863,0.23651000000009814,0.9993314368895413
0MC2-251216-020,0MC,3.6067599999998783,-0.004109999999999392,0.2279600000000972,0.9994453336213339
0MC2-251216-023,0MC,3.5878199999998803,-0.02610999999999697,0.24944000000009536,0.9904694674177106
0MC2-251222-001,0MC,3.6097199999998777,0.0019799999999996487,0.22058000000009503,0.9994735794160434
0MC2-251222-002,0MC,3.59071999999988,-0.0072499999999990905,0.243570000000092,0.9989214845831168
0MC2-251222-004,0MC,3.6028399999998784,0.003109999999999502,0.22916000000008907,0.9993752515837409
0MC2-251222-005,0MC,3.5866599999998803,0.006799999999999251,0.25264000000008924,0.998822217431404
0MC2-251222-006,0MC,3.58885999999988,0.005969999999999143,0.24721000000009274,0.9994060969593895
0MC2-260120-014,0MC,3.6096999999998776,-0.0021999999999997577,0.20480000000010357,0.9992628505713913
