seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,64,32,3,0.02092738960714478,15,4
2,128,40,0,0.0018404220492434474,6,4
3,256,24,2,0.07075887853742129,15,6
4,256,16,3,0.011740203670642936,17,4
5,448,40,3,0.01589399503181247,2,2
