seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,50,17,8,16,
2,100,6,20,20,sqrt
3,250,14,10,20,
4,150,6,11,15,sqrt
5,200,5,13,15,sqrt
