variant,mae,mae_q1,mae_q2,mae_q3,mae_q4,mape,medae,r2,rmse,runtime_s
rsf_no_censored,127.72631578947369,91.88,105.66666666666667,81.15555555555557,225.34,1.0172515283332644,97.9,0.4002752552329885,170.18671632173883,40.28227005004883
rsf_with_censored,147.4157894736842,159.6,161.24444444444444,130.35555555555555,138.14000000000001,1.871137420913748,129.7,0.2813903639680033,185.67291218735102,38.54409804344177
