seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,256,8,2,0.002309215540678254,13,6
2,128,40,1,0.004581033993836984,13,5
3,384,8,2,0.029106859784902583,3,6
4,256,16,3,0.011740203670642936,17,4
5,64,16,2,0.08530061222869252,2,6
