seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,125,9,0.009662594301254561,0.5826770985584664,0.963754290198017,4,0.10075077894785217,0.8016631879017478
2,325,5,0.012220975191122464,0.9357617101525737,0.5734633537241052,4,0.9125626630618836,4.737702371565718
3,250,4,0.013097648028642593,0.5931824658734708,0.8898543314011796,2,0.026792835881697005,0.08906832885032404
4,125,4,0.002987658247338728,0.9066736927118088,0.9737928064535339,1,0.5417709438998124,0.0010983529132783524
5,225,3,0.0025718352144666573,0.9819652645339709,0.9801133576428469,2,0.0001250910524668345,0.006579943818868581
