seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8888545586584803,auc_at_N,83.0,37.0,0.7315950920245399,0.9370629370629371,0.6190476190476191,0.8022328548644339,0.6666666666666666,0.7704347826086956,0.6938775510204082,,0.7209797657082002
2,0.8583560907616634,auc_at_N,83.0,37.0,0.7758358662613982,0.895,0.6511627906976745,0.8239564428312159,0.6976744186046512,0.8558352402745996,0.8181818181818182,0.5882352941176471,0.8055235903337169
3,0.8737520762691042,auc_at_N,83.0,37.0,0.7215447154471545,0.9603305785123968,0.5,0.7777777777777778,0.5217391304347826,0.7291666666666666,0.56,,0.7184115523465704
4,0.8647085852743748,auc_at_N,83.0,37.0,0.8278443113772455,0.9666666666666668,0.6363636363636364,0.9427083333333334,0.7142857142857143,0.8583916083916083,0.7391304347826086,0.8571428571428571,0.8336886993603412
5,0.8618137155541248,auc_at_N,83.0,37.0,0.7885628291948834,0.9053030303030303,0.5365853658536586,0.8316993464052287,0.6818181818181818,0.8939130434782608,0.8163265306122449,0.7948717948717948,0.7868303571428571
