seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.8478042328042328,roc_auc,0.8529411764705882,0.8,0.8055555555555556,0.90625,50.0,0.8784722222222222,0.8,0.8796296296296295
2,0.8608994708994708,roc_auc,0.9090909090909091,0.88,0.8823529411764706,0.9375,50.0,0.9149305555555556,1.0,0.9148073022312373
3,0.8582804232804233,roc_auc,0.8450704225352113,0.78,0.7692307692307693,0.9375,50.0,0.9079861111111112,1.0,0.9037037037037037
4,0.8749867724867725,roc_auc,0.7878787878787878,0.72,0.7647058823529411,0.8125,50.0,0.7864583333333333,0.8,0.782716049382716
5,0.8761243386243386,roc_auc,0.8235294117647058,0.76,0.7777777777777778,0.875,50.0,0.8315972222222222,1.0,0.8240740740740741
