seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,475,5,0.09514148559918022,0.9447673634661089,0.6622577347694172,5,0.8652482590821478,0.07720604814597318
2,550,8,0.013611601968764814,0.8327002248548674,0.7317992574243734,4,0.018159583191362107,2.2819951059475523
3,350,8,0.2917564302452479,0.7510830532643229,0.8829652486923938,9,0.009878705894835669,0.004528623053220552
4,600,6,0.25671846197924497,0.8574079968371824,0.8488644122986354,3,0.8037071262320876,0.0010590611107431805
5,175,9,0.143315167859473,0.961374806972835,0.5011071062662218,5,0.8430919651961901,0.03942568208707974
