seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9340671200156155,f1,0.9438202247191011,0.9152542372881356,0.9545454545454546,0.9333333333333333,59.0,0.9206349206349206,1.0,0.8841269841269841
2,0.9348073379796522,f1,0.9438202247191011,0.9152542372881356,0.9545454545454546,0.9333333333333333,59.0,0.9396825396825397,1.0,0.9506903353057199
3,0.9454255625488501,f1,0.9032258064516129,0.847457627118644,0.875,0.9333333333333333,59.0,0.8563492063492064,0.9444444444444444,0.8589743589743589
4,0.9506088280060883,f1,0.8539325842696629,0.7796610169491526,0.8636363636363636,0.8444444444444444,59.0,0.7746031746031746,0.6071428571428571,0.7850877192982456
5,0.9320848998718958,f1,0.945054945054945,0.9152542372881356,0.9347826086956522,0.9555555555555556,59.0,0.9603174603174602,1.0,0.9583333333333334
