seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,64,32,3,0.02092738960714478,15,4
2,448,40,0,0.05443127809704799,20,5
3,64,8,3,0.24236110531608507,19,6
4,384,56,0,0.040317906063005664,9,6
5,512,56,3,0.014921562376181783,14,2
