seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,aft_loss_distribution,aft_loss_distribution_scale
1,125,3,0.09628117698906269,0.9841307878596988,0.6567120890796214,extreme,0.6275663170546668
2,125,3,0.03741860043125369,0.8093952295358454,0.8679236040669305,normal,0.6545250847117674
3,100,4,0.030589241890388485,0.6521508914182844,0.5721307083626388,extreme,1.9972987789065701
4,275,7,0.025107127955962736,0.691127575475763,0.588850359789377,logistic,0.8705033857418156
5,325,5,0.027193142033918136,0.7484999640124635,0.7090631636629293,normal,1.5882292592048044
