seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.7797247797247797,f1_at_N,83.0,37.0,0.7783742331288344,0.9265734265734267,0.6190476190476191,0.8038277511961722,0.6666666666666666,0.8139130434782609,0.7346938775510204,,0.7603833865814696
2,0.7988690041699178,f1_at_N,83.0,37.0,0.7834346504559271,0.8883333333333334,0.6511627906976745,0.8656987295825771,0.6976744186046512,0.8306636155606407,0.7272727272727273,0.5294117647058824,0.8043728423475259
3,0.8090470630831577,f1_at_N,83.0,37.0,0.7997967479674797,0.9834710743801652,0.4888888888888889,0.8453453453453453,0.6521739130434783,0.8311011904761905,0.76,,0.7856498194945848
4,0.7952401794507058,f1_at_N,83.0,37.0,0.7941616766467066,0.9158730158730158,0.5909090909090909,0.888888888888889,0.6666666666666666,0.8513986013986014,0.6956521739130435,0.9714285714285714,0.7633262260127932
5,0.7833902323376007,f1_at_N,83.0,37.0,0.781790820165538,0.8825757575757576,0.5365853658536586,0.7875816993464052,0.6363636363636364,0.8382608695652174,0.8163265306122449,0.9743589743589743,0.7444196428571429
