seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,64,32,3,0.02092738960714478,15,4
2,384,56,3,0.23757669798477293,2,2
3,128,24,0,0.009149473594517121,16,7
4,384,24,0,0.057820761415969375,20,2
5,448,40,3,0.01589399503181247,2,2
