seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,425,7,0.0025149350934502383,0.9438837686589817,0.8032279582805668,1,0.0006508803591817478,0.13342822688374747
2,50,8,0.0010576729549284284,0.606061654974882,0.5049152455027803,2,0.5203679317307391,0.09658455432669798
3,175,5,0.0075792506928065795,0.9233777719923622,0.7907960508064436,4,0.029507829205361536,4.043909420228813
4,50,5,0.001286440837502284,0.978326483857118,0.7180733234398988,10,0.13970885834033986,2.9184831775054216
5,350,6,0.29250603148018617,0.6958427610057182,0.9916330558676907,1,0.0004228883910188542,0.0013241810888452216
