seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9491558441558443,roc_auc,0.8817204301075269,0.8135593220338984,0.8541666666666666,0.9111111111111111,59.0,0.8825396825396825,0.92,0.8857142857142857
2,0.9313924963924963,roc_auc,0.946236559139785,0.9152542372881356,0.9166666666666666,0.9777777777777777,59.0,0.965079365079365,1.0,0.9625246548323472
3,0.9428427128427128,roc_auc,0.8712871287128713,0.7796610169491526,0.7857142857142857,0.9777777777777777,59.0,0.9,0.9444444444444445,0.9090909090909091
4,0.963080808080808,roc_auc,0.8653846153846154,0.7627118644067796,0.7627118644067796,1.0,59.0,0.8142857142857144,0.8571428571428572,0.8114035087719298
5,0.9220851370851371,roc_auc,0.9347826086956522,0.8983050847457628,0.9148936170212766,0.9555555555555556,59.0,0.9634920634920634,0.8,0.96875
