seed,model,metric,value
4,xgb_regressor,mape,1.8141680919970036
4,xgb_regressor,runtime_s,61.61883187294006
4,xgb_regressor,mae_q1,105.09184588191752
4,xgb_regressor,mae_q2,74.28976768855733
4,xgb_regressor,mae_q3,68.89692745334297
4,xgb_regressor,mae_q4,193.91342809563275
4,ebm_regressor,mae,120.53980209202878
4,ebm_regressor,rmse,164.08628077898533
4,ebm_regressor,r2,0.35357671184260064
4,ebm_regressor,medae,84.27085330862869
4,ebm_regressor,mape,1.9525944122431698
4,ebm_regressor,runtime_s,386.6795241832733
4,ebm_regressor,mae_q1,112.13682084621423
4,ebm_regressor,mae_q2,96.52747078824639
4,ebm_regressor,mae_q3,68.38173644864884
4,ebm_regressor,mae_q4,197.49614059028934
