seed,inner_cv_score,tune_objective,test_n,test_n_events,test_c_index,test_auc_at_200,test_f1_at_200,test_auc_at_300,test_f1_at_300,test_auc_at_400,test_f1_at_400,test_c_index_0MC,test_c_index_AR
1,0.8722048555732768,auc_at_N,83.0,37.0,0.8021472392638037,0.9038461538461539,0.6190476190476191,0.8787878787878788,0.7555555555555555,0.9043478260869565,0.8163265306122449,,0.7902023429179978
2,0.8805215419501133,auc_at_N,83.0,37.0,0.7689969604863222,0.8716666666666666,0.6046511627906976,0.8275862068965517,0.6976744186046512,0.8421052631578948,0.7272727272727273,0.5588235294117647,0.7813578826237054
3,0.9014571024872179,auc_at_N,83.0,37.0,0.7791327913279132,0.9537190082644629,0.5,0.8528528528528528,0.6956521739130435,0.7931547619047619,0.72,,0.7563176895306859
4,0.868997835884446,auc_at_N,83.0,37.0,0.8211077844311377,0.9317460317460318,0.5909090909090909,0.939236111111111,0.7142857142857143,0.8881118881118881,0.782608695652174,0.8571428571428571,0.8198294243070362
5,0.8855501608050627,auc_at_N,83.0,37.0,0.781790820165538,0.8825757575757576,0.4878048780487805,0.8398692810457516,0.6363636363636364,0.8608695652173913,0.7755102040816326,0.8974358974358975,0.7488839285714286
