seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,256,48,0,0.0056093745746220594,4,2
2,256,8,2,0.011976953168538378,9,4
3,192,24,1,0.13540878653133187,13,3
4,64,64,1,0.22424969285131216,16,8
5,192,16,0,0.24421526219723313,20,3
