seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,300,10,16,19,sqrt
2,100,17,18,12,sqrt
3,300,8,14,11,log2
4,275,16,20,16,sqrt
5,225,13,15,14,log2
