seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.7973177590309323,f1,0.7547169811320755,0.7291666666666666,0.6896551724137931,0.8333333333333334,48.0,0.8871527777777778,0.9142857142857144,0.9009287925696594
2,0.7820958698570638,f1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,48.0,0.9704861111111112,1.0,0.9752066115702479
3,0.7516946427422986,f1,0.7843137254901961,0.7708333333333334,0.7407407407407407,0.8333333333333334,48.0,0.84375,1.0,0.8166666666666667
4,0.7938579938579938,f1,0.7843137254901961,0.7708333333333334,0.7407407407407407,0.8333333333333334,48.0,0.8489583333333334,1.0,0.8380952380952381
5,0.7897233201581028,f1,0.7843137254901961,0.7708333333333334,0.7407407407407407,0.8333333333333334,48.0,0.8802083333333334,1.0,0.8727272727272727
