w_rsf,N200_c_mean,N200_c_std,N300_c_mean,N300_c_std,N400_c_mean,N400_c_std
0.0,0.7701870335106001,0.026441028021870424,0.7701870335106001,0.026441028021870424,0.7701870335106001,0.026441028021870424
0.1,0.7758044042907214,0.02099913715030786,0.7759734643619887,0.021596850385380017,0.7750543202874491,0.0241418899508957
0.2,0.7786611107423294,0.022013115180603532,0.7786138724536589,0.02126342412422418,0.7783241776271232,0.024366639324793885
0.3,0.7820664717790337,0.021717769679840706,0.7812974662993566,0.020889937646007616,0.7829322329489231,0.020778274785836624
0.4,0.7869552645875677,0.01903616396367655,0.7861435733314129,0.016829714755459465,0.7869874003767282,0.01838642796217957
0.5,0.7925891311972991,0.015025034472984805,0.7903348041308199,0.015004146274634434,0.7923137567493347,0.01557725413246464
0.6,0.7940794636424261,0.0158992541938763,0.7932007893550197,0.015852625693916222,0.7939827763035027,0.016344302871747075
0.7,0.7973219161373717,0.016643023155330384,0.7951005377286465,0.017513762196334777,0.7952742383572178,0.01715033088170207
0.8,0.7970443146462304,0.017691578237464957,0.7962444862235363,0.019282513035737924,0.7973853536782732,0.020135850497358665
0.9,0.8009947690566704,0.019076065217320862,0.800228415332902,0.020253086945809785,0.8012875494373223,0.018789530277612446
1.0,0.8026552472888081,0.018860367293167347,0.801276500298774,0.021331097502515613,0.8019186354763459,0.019304913099656203
