seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,512,48,0,0.0073844614268810315,16,4
2,192,24,2,0.03573947570704465,5,3
3,320,64,0,0.010725681931774237,19,8
4,512,8,1,0.011940742866542025,16,3
5,256,56,2,0.06019377648063967,20,4
